id,repdem,libcon
2702,Democrat (Weakly Democratic),Moderate
2703,Republican (Weakly Republican),Moderate
2704,Independent (Lean toward the Democratic Party),Slightly liberal
2707,Democrat (Strongly Democratic),Extremely liberal
2708,Democrat (Weakly Democratic),Liberal
2709,Democrat (Weakly Democratic),Moderate
2710,Independent (Lean toward the Democratic Party),Moderate
2711,Independent (Lean toward the Democratic Party),Slightly liberal
2712,Republican (Weakly Republican),Slightly liberal
2714,Independent,Moderate
2715,Independent (Lean toward the Republican Party),Moderate
2716,Democrat (Strongly Democratic),Liberal
2717,Democrat (Strongly Democratic),Liberal
2718,Independent (Lean toward the Republican Party),Moderate
2720,Democrat (Strongly Democratic),Extremely liberal
2721,Republican (Strongly Republican),Conservative
2722,Independent,Slightly conservative
2723,Democrat (Strongly Democratic),Liberal
2724,Democrat (Weakly Democratic),Liberal
2726,Democrat (Strongly Democratic),Liberal
2727,Democrat (Strongly Democratic),Moderate
2728,Democrat (Strongly Democratic),Extremely liberal
2730,Independent (Lean toward the Democratic Party),Slightly liberal
2731,Independent (Lean toward the Democratic Party),Liberal
2732,Democrat (Weakly Democratic),Liberal
2733,Democrat (Strongly Democratic),Liberal
2734,Democrat (Strongly Democratic),Liberal
2735,Independent (Lean toward the Democratic Party),Moderate
2736,Independent (Lean toward the Republican Party),Slightly conservative
2738,Independent (Lean toward the Democratic Party),Extremely liberal
2739,Independent (Lean toward the Democratic Party),Extremely liberal
2740,Democrat (Strongly Democratic),Liberal
2741,Democrat (Weakly Democratic),Slightly liberal
2742,Independent (Lean toward the Democratic Party),Liberal
2744,Democrat (Weakly Democratic),Slightly liberal
2746,Democrat (Weakly Democratic),Slightly liberal
2747,Independent (Lean toward the Democratic Party),Conservative
2748,Republican (Strongly Republican),Extremely conservative
2749,Independent,Moderate
2750,Democrat (Weakly Democratic),Extremely liberal
2751,Democrat (Weakly Democratic),Extremely liberal
2752,Independent (Lean toward the Republican Party),Conservative
2754,Democrat (Strongly Democratic),Liberal
2755,Republican (Strongly Republican),Conservative
2756,Independent,Slightly liberal
2757,Independent (Lean toward the Democratic Party),Moderate
2758,Independent (Lean toward the Democratic Party),Liberal
2759,Republican (Strongly Republican),Extremely conservative
2760,Independent (Lean toward the Democratic Party),Liberal
2761,Independent,Moderate
2762,Independent (Lean toward the Republican Party),Conservative
2763,Independent,Moderate
2764,Independent (Lean toward the Democratic Party),Slightly liberal
2765,Democrat (Strongly Democratic),Liberal
2766,Republican (Strongly Republican),Conservative
2767,Independent (Lean toward the Democratic Party),Extremely liberal
2768,Republican (Weakly Republican),Slightly liberal
2769,Independent,Moderate
2770,Independent (Lean toward the Republican Party),Slightly conservative
2771,Republican (Weakly Republican),Slightly liberal
2772,Democrat (Weakly Democratic),Liberal
2774,Independent,Moderate
2775,Democrat (Weakly Democratic),Moderate
2776,Independent,Moderate
2777,Independent,Slightly conservative
2778,Democrat (Strongly Democratic),Liberal
2779,Democrat (Weakly Democratic),Moderate
2780,Democrat (Strongly Democratic),Liberal
2781,Republican (Strongly Republican),Conservative
2782,Independent (Lean toward the Democratic Party),Moderate
2783,Independent (Lean toward the Democratic Party),Moderate
2784,Independent,Moderate
2785,Independent,Liberal
2786,Independent (Lean toward the Democratic Party),Extremely conservative
2787,Republican (Weakly Republican),Moderate
2788,Independent (Lean toward the Republican Party),Moderate
2789,Independent (Lean toward the Democratic Party),Liberal
2790,Democrat (Strongly Democratic),Extremely liberal
2791,Republican (Weakly Republican),Slightly liberal
2792,Republican (Weakly Republican),Slightly conservative
2793,Independent,Moderate
2794,Independent,Moderate
2795,Republican (Weakly Republican),Conservative
2796,Independent (Lean toward the Republican Party),Slightly conservative
2797,Independent,Moderate
2799,Democrat (Strongly Democratic),Extremely liberal
2800,Independent (Lean toward the Democratic Party),Extremely liberal
2801,Independent (Lean toward the Democratic Party),Slightly conservative
2803,Independent,Moderate
2804,Independent (Lean toward the Republican Party),Extremely liberal
2805,Republican (Strongly Republican),Extremely conservative
2806,Republican (Weakly Republican),Slightly conservative
2807,Independent (Lean toward the Democratic Party),Extremely liberal
2808,Democrat (Strongly Democratic),Liberal
2809,Republican (Weakly Republican),Moderate
2811,Independent,Liberal
2812,Independent,Moderate
2813,Democrat (Strongly Democratic),Extremely liberal
2814,Democrat (Weakly Democratic),Moderate
2815,Independent,Extremely liberal
2816,Independent (Lean toward the Democratic Party),Slightly liberal
2817,Independent (Lean toward the Republican Party),Slightly conservative
2818,Democrat (Weakly Democratic),Liberal
2819,Republican (Weakly Republican),Slightly conservative
2820,Democrat (Strongly Democratic),Liberal
2822,Democrat (Strongly Democratic),Liberal
2823,Independent,Moderate
2824,Democrat (Strongly Democratic),Liberal
2825,Independent,Moderate
2826,Democrat (Strongly Democratic),Extremely liberal
2827,Independent (Lean toward the Democratic Party),Liberal
2828,Democrat (Strongly Democratic),Liberal
2829,Democrat (Strongly Democratic),Liberal
2830,Democrat (Weakly Democratic),Liberal
2831,Independent (Lean toward the Democratic Party),Liberal
2832,Independent,Moderate
2833,Republican (Weakly Republican),Conservative
2834,Democrat (Weakly Democratic),Liberal
2835,Democrat (Strongly Democratic),Slightly liberal
2836,Democrat (Weakly Democratic),Moderate
2838,Democrat (Weakly Democratic),Moderate
2839,Democrat (Strongly Democratic),Extremely liberal
2840,Democrat (Weakly Democratic),Slightly liberal
2842,Democrat (Strongly Democratic),Liberal
2843,Democrat (Strongly Democratic),Extremely liberal
2844,Democrat (Strongly Democratic),Liberal
2845,Independent (Lean toward the Republican Party),Conservative
2847,Democrat (Weakly Democratic),Liberal
2848,Independent,Moderate
2849,Republican (Weakly Republican),Conservative
2851,Republican (Weakly Republican),Slightly conservative
2852,Independent,Moderate
2853,Democrat (Strongly Democratic),Extremely liberal
2854,Independent,Moderate
2855,Independent (Lean toward the Democratic Party),Liberal
2856,Democrat (Strongly Democratic),Extremely liberal
2857,Republican (Weakly Republican),Slightly conservative
2858,Democrat (Weakly Democratic),Liberal
2859,Independent,Moderate
2860,Democrat (Strongly Democratic),Liberal
2861,Independent (Lean toward the Republican Party),Slightly conservative
2862,Independent (Lean toward the Republican Party),Conservative
2864,Independent (Lean toward the Republican Party),Slightly conservative
2865,Independent,Moderate
2866,Democrat (Strongly Democratic),Liberal
2867,Republican (Weakly Republican),Slightly conservative
2868,Republican (Weakly Republican),Moderate
2869,Independent (Lean toward the Republican Party),Moderate
2870,Independent (Lean toward the Democratic Party),Slightly conservative
2871,Democrat (Weakly Democratic),Slightly liberal
2872,Independent,Moderate
2874,Republican (Strongly Republican),Conservative
2875,Independent (Lean toward the Democratic Party),Moderate
2876,Democrat (Weakly Democratic),Liberal
2877,Independent (Lean toward the Republican Party),Slightly conservative
2878,Republican (Strongly Republican),Conservative
2879,Independent (Lean toward the Democratic Party),Liberal
2880,Democrat (Strongly Democratic),Liberal
2881,Republican (Weakly Republican),Moderate
2883,Independent,Moderate
2884,Independent,Slightly liberal
2885,Democrat (Strongly Democratic),Liberal
2887,Republican (Weakly Republican),Conservative
2888,Democrat (Weakly Democratic),Slightly liberal
2889,Republican (Weakly Republican),Conservative
2890,Independent,Moderate
2891,Democrat (Weakly Democratic),Liberal
2892,Independent,Moderate
2893,Republican (Strongly Republican),Conservative
2894,Democrat (Weakly Democratic),Conservative
2896,Democrat (Weakly Democratic),Liberal
2897,Democrat (Strongly Democratic),Liberal
2898,Democrat (Strongly Democratic),Liberal
2899,Democrat (Strongly Democratic),Extremely liberal
2900,Republican (Strongly Republican),Conservative
2901,Republican (Weakly Republican),Slightly conservative
2902,Independent (Lean toward the Republican Party),Conservative
2903,Independent,Moderate
2904,Independent (Lean toward the Democratic Party),Slightly liberal
2905,Republican (Weakly Republican),Conservative
2906,Independent (Lean toward the Democratic Party),Liberal
2907,Republican (Weakly Republican),Slightly conservative
2908,Democrat (Strongly Democratic),Liberal
2909,Democrat (Weakly Democratic),Extremely liberal
2910,Independent (Lean toward the Democratic Party),Slightly liberal
2911,Independent,Moderate
2912,Republican (Strongly Republican),Conservative
2913,Democrat (Strongly Democratic),Slightly liberal
2914,Independent (Lean toward the Democratic Party),Slightly liberal
2915,Democrat (Strongly Democratic),Liberal
2916,Independent (Lean toward the Democratic Party),Moderate
2917,Democrat (Strongly Democratic),Liberal
2918,Independent,Slightly liberal
2919,Independent (Lean toward the Democratic Party),Moderate
2920,Republican (Weakly Republican),Moderate
2921,Democrat (Strongly Democratic),Liberal
2922,Democrat (Strongly Democratic),Liberal
2924,Independent,Slightly conservative
2925,Independent,Moderate
2926,Independent (Lean toward the Democratic Party),Liberal
2928,Democrat (Strongly Democratic),Liberal
2929,Independent (Lean toward the Democratic Party),Slightly liberal
2930,Democrat (Weakly Democratic),Slightly liberal
2931,Independent,Moderate
2934,Democrat (Strongly Democratic),Liberal
2935,Democrat (Strongly Democratic),Extremely liberal
2936,Independent,Moderate
2937,Democrat (Strongly Democratic),Liberal
2939,Democrat (Weakly Democratic),Slightly liberal
2941,Independent (Lean toward the Democratic Party),Slightly liberal
2942,Democrat (Strongly Democratic),Liberal
2943,Republican (Strongly Republican),Conservative
2944,Democrat (Strongly Democratic),Liberal
2945,Democrat (Strongly Democratic),Extremely liberal
2946,Democrat (Strongly Democratic),Extremely liberal
2947,Independent (Lean toward the Democratic Party),Liberal
2948,Independent (Lean toward the Democratic Party),Slightly liberal
2949,Independent,Slightly liberal
2950,Independent (Lean toward the Democratic Party),Liberal
2951,Independent,Liberal
2952,Republican (Weakly Republican),Slightly conservative
2953,Democrat (Strongly Democratic),Liberal
2954,Democrat (Weakly Democratic),Slightly liberal
2956,Democrat (Weakly Democratic),Slightly liberal
2957,Democrat (Weakly Democratic),Liberal
2958,Democrat (Strongly Democratic),Liberal
2960,Republican (Strongly Republican),Conservative
2961,Republican (Weakly Republican),Moderate
2962,Independent (Lean toward the Republican Party),Slightly conservative
2963,Democrat (Weakly Democratic),Moderate
2964,Independent (Lean toward the Republican Party),Slightly conservative
2965,Independent,Moderate
2966,Democrat (Strongly Democratic),Liberal
2967,Independent (Lean toward the Republican Party),Slightly conservative
2968,Republican (Strongly Republican),Liberal
2969,Democrat (Weakly Democratic),Liberal
2970,Democrat (Strongly Democratic),Liberal
2971,Democrat (Weakly Democratic),Liberal
2972,Democrat (Weakly Democratic),Conservative
2973,Independent (Lean toward the Republican Party),Slightly conservative
2975,Independent,Moderate
2976,Democrat (Weakly Democratic),Liberal
2977,Independent (Lean toward the Democratic Party),Liberal
2978,Independent (Lean toward the Republican Party),Extremely conservative
2979,Independent,Slightly conservative
2980,Independent (Lean toward the Republican Party),Conservative
2981,Democrat (Strongly Democratic),Slightly liberal
2982,Democrat (Strongly Democratic),Liberal
2983,Independent (Lean toward the Democratic Party),Moderate
2984,Republican (Weakly Republican),Conservative
2985,Republican (Weakly Republican),Moderate
2987,Democrat (Weakly Democratic),Liberal
2988,Republican (Strongly Republican),Moderate
2989,Democrat (Strongly Democratic),Extremely conservative
2990,Democrat (Weakly Democratic),Slightly liberal
2991,Democrat (Weakly Democratic),Slightly liberal
2992,Democrat (Strongly Democratic),Extremely liberal
2994,Democrat (Weakly Democratic),Liberal
2995,Democrat (Weakly Democratic),Moderate
2996,Independent,Slightly conservative
2997,Democrat (Strongly Democratic),Liberal
2998,Independent (Lean toward the Republican Party),Moderate
2999,Republican (Strongly Republican),Conservative
